System,Sentence,Code,Classification,Short_Long,Location,Interrupted,Clue_location,Difficulty,Source
Hybrid SMT,S05a,1,Ambiguity,S,Before,NA,NA,Lexical,"While I enjoy your company, I'm going to have to ask you to leave."
Hybrid SMT,S05b,1,Ambiguity,S,Before,NA,NA,Lexical,"While money is always tight, I can generally make a living freelancing."
Hybrid SMT,S05c,-1,Ambiguity,S,Mid,NA,NA,Lexical,"The actor, while handsome and charming, was not a particularly nice person to work with."
Hybrid SMT,S05d,-1,Ambiguity,S,Mid,NA,NA,Lexical,"The hotel room, while it was clean and cheap, was not particularly attractive."
Hybrid SMT,S05e,1,Ambiguity,L,Before,NA,NA,Lexical,"While I enjoy your company and I appreciate your help, I'm going to have to ask you to leave and take your dog with you."
Hybrid SMT,S05f,1,Ambiguity,L,Before,NA,NA,Lexical,"While money is always tight and rent for my small apartment is only getting more and more expensive, I can generally make a living freelancing."
Hybrid SMT,S05g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"The actor, while handsome and charming and selected among hundreds of others for the upcoming science fiction movie, was not a particularly nice person to work with."
Hybrid SMT,S05h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"The hotel room that I managed to book at the last minute for a road trip, while it was clean and cheap, was not particularly attractive."
Hybrid SMT,S06a,-1,Ambiguity,S,Before,NA,NA,Lexical,"While Megan loves a good steak, her brother doesn't eat meat."
Hybrid SMT,S06b,1,Ambiguity,S,Before,NA,NA,Lexical,"While the government is telling people to practice physical distancing, some still gather in parks."
Hybrid SMT,S06c,1,Ambiguity,S,Mid,NA,NA,Lexical,"There was still soap on the shelves, while the toilet paper was out of stock."
Hybrid SMT,S06d,1,Ambiguity,S,Mid,NA,NA,Lexical,"The blue mushroom shrinks Mario, while the red one makes him grow."
Hybrid SMT,S06e,-1,Ambiguity,L,Before,NA,NA,Lexical,"While Megan loves a good medium-rare steak with creamy peppercorn sauce, her younger brother who grew up with her doesn't eat meat at all."
Hybrid SMT,S06f,1,Ambiguity,L,Before,NA,NA,Lexical,"While the government is telling people to practice physical distancing to reduce the spread of the virus, some still gather in parks and visit relatives."
Hybrid SMT,S06g,1,Ambiguity,L,Mid,NA,NA,Lexical,"I lost faith in humanity when I saw that there was still hand soap on the shelves, while the toilet paper was out of stock."
Hybrid SMT,S06h,1,Ambiguity,L,Mid,NA,NA,Lexical,"The blue mushroom shrinks Mario and allows him to walk on water, while the red one makes him bigger and more resistant to enemy attacks."
Hybrid SMT,S07a,-1,Ambiguity,S,Before,NA,NA,Lexical,"When the freezers stopped working, the store had to throw away all its ice cream."
Hybrid SMT,S07b,-1,Ambiguity,S,Before,NA,NA,Lexical,"When the oil spilled, dozens of otter dens were completely destroyed."
Hybrid SMT,S07c,-1,Ambiguity,S,Mid,NA,NA,Lexical,She was diagnosed with epilepsy when she collapsed and had a seizure.
Hybrid SMT,S07d,-1,Ambiguity,S,Mid,NA,NA,Lexical,The neighbours stepped in to donate furniture and clothing when the apartment building caught fire.
Hybrid SMT,S07e,-1,Ambiguity,L,Before,NA,NA,Lexical,"When the six brand-new freezers in aisle 3 suddenly stopped working all at once, the grocery store had to throw away all its ice cream."
Hybrid SMT,S07f,-1,Ambiguity,L,Before,NA,NA,Lexical,"When the oil arriving from Alaska in the United States accidentally spilled on the coasts of the Pacific Ocean, dozens of otter dens were completely destroyed."
Hybrid SMT,S07g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"She was diagnosed with epilepsy, leaving her unable to participate in high-risk sports such as scuba and skydiving, when she collapsed and had a seizure at the age of 8."
Hybrid SMT,S07h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"The neighbours who just moved in next-door last month stepped in to donate food, furniture and clothing when the apartment building caught fire in the middle of the night."
Hybrid SMT,S08a,-1,Ambiguity,S,Before,NA,NA,Lexical,"The helicopter slowly landed in the field, when the rescuers jumped off."
Hybrid SMT,S08b,-1,Ambiguity,S,Before,NA,NA,Lexical,"The car will be fixed by 5pm, when I will come to pick it up."
Hybrid SMT,S08c,-1,Ambiguity,S,Mid,NA,NA,Lexical,"I drove until it was dark outside, when my husband took the wheel."
Hybrid SMT,S08d,-1,Ambiguity,S,Mid,NA,NA,Lexical,"They swam until their fingertips were wrinkly, when they got out of the pool."
Hybrid SMT,S08e,-1,Ambiguity,L,Before,NA,NA,Lexical,"The helicopter slowly landed in the field below the big rock wall, when the three rescuers jumped off and went looking for the injured climbers."
Hybrid SMT,S08f,-1,Ambiguity,L,Before,NA,NA,Lexical,"The mechanic who was recommended to me by a colleague will have the car fixed by 5pm, when I will come to pick it up."
Hybrid SMT,S08g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"I drove my auntês old car with two of my friends in the backseat and my husband next to me until it was dark outside, when my husband took the wheel."
Hybrid SMT,S08h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"They swam all afternoon at Katieês new house until their fingertips were wrinkly and they were all shivering, when they got out of the pool."
Hybrid SMT,S09a,-1,Ambiguity,S,Mid,NA,NA,Lexical,I was angry that he left when he said he would stay to help.
Hybrid SMT,S09b,1,Ambiguity,S,Mid,NA,NA,Lexical,They couldnêt believe he made that decision when he knew all the risks it involved.
Hybrid SMT,S09c,-1,Ambiguity,S,Mid,NA,NA,Lexical,I was upset she still dated him when I warned her he was a cheater.
Hybrid SMT,S09d,-1,Ambiguity,S,Mid,NA,NA,Lexical,It made me sick to see him defend her when sheês been treating him like garbage.
Hybrid SMT,S09e,-1,Ambiguity,L,Mid,NA,NA,Lexical,"I was angry that he left without telling anyone and with all of the tools he knew we needed, when he said he would stay to help."
Hybrid SMT,S09f,1,Ambiguity,L,Mid,NA,NA,Lexical,"They couldnêt believe he made that decision without consulting anyone from management or from his working group, when he knew all the risks it involved."
Hybrid SMT,S09g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"I was upset and our whole friend group was frustrated that she still trusted and dated him, when I warned her that he was a cheater"
Hybrid SMT,S09h,-1,Ambiguity,L,Mid,NA,NA,Lexical,It made me sick to my stomach to see him defend her in front of all of our friends when sheês been treating him like garbage.
Hybrid SMT,S10a,-1,Ambiguity,S,Before,NA,NA,Lexical,"With the neighbourês dog constantly barking, I couldnêt get any sleep."
Hybrid SMT,S10b,0,Ambiguity,S,Before,NA,NA,Lexical,"With everyone asked to stay home, the price of gas has drastically decreased."
Hybrid SMT,S10c,-1,Ambiguity,S,Mid,NA,NA,Lexical,I canêt finish any of my work with people pestering me all the time.
Hybrid SMT,S10d,-1,Ambiguity,S,Mid,NA,NA,Lexical,"I'm thinking of riding my bicycle, with the price of gas on the rise."
Hybrid SMT,S10e,-1,Ambiguity,L,Before,NA,NA,Lexical,"With the neighbourês dogÜa four-year-old Australian Shepherd that was rescued from a local shelter two weeks agoÜconstantly barking, I couldnêt get any sleep."
Hybrid SMT,S10f,0,Ambiguity,L,Before,NA,NA,Lexical,"With everyone asked to stay home in hopes of reducing the number of cases of COVID-19 in Canada, the cost of gas has drastically decreased."
Hybrid SMT,S10g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"I canêt finish any of the work assigned to me by my new manager who started last week, with people pestering me all the time."
Hybrid SMT,S10h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"I'm thinking of riding my brotherês old bicycle to work and to the gym starting next week, with the price of gas on the rise."
Hybrid SMT,S11a,-1,Ambiguity,S,Before,NA,NA,Lexical,He was consumed with guilt after he broke his motherês favourite vase.
Hybrid SMT,S11b,-1,Ambiguity,S,Before,NA,NA,Lexical,Everyone could see that her eyes were still burning with hatred.
Hybrid SMT,S11c,1,Ambiguity,S,Mid,NA,NA,Lexical,"Still beaming with joy, she ran home to tell her parents the good news."
Hybrid SMT,S11d,1,Ambiguity,S,Mid,NA,NA,Lexical,That medication is not recommended for use in patients with hypothermia.
Hybrid SMT,S11e,-1,Ambiguity,L,Before,NA,NA,Lexical,"He was consumed with guilt, a feeling he had not felt since he accidentally ruined his sisterês sweater in the dryer, after he broke his motherês favourite vase."
Hybrid SMT,S11f,-1,Ambiguity,L,Before,NA,NA,Lexical,"Although she claimed she had moved on and forgiven her family, everyone could see that her eyes still burned with a hatred so deep that no one dared to approach her."
Hybrid SMT,S11g,1,Ambiguity,L,Mid,NA,NA,Lexical,"Still beaming with joy, she ran home to tell her parents the good news, unaware that they had left home earlier to go visit her sick aunt."
Hybrid SMT,S11h,1,Ambiguity,L,Mid,NA,NA,Lexical,That medication has been observed to cause severe side effects including liver damage and is not recommended for use in patients with thyroid problems or severe hypothermia.
Hybrid SMT,S12a,-1,Ambiguity,S,Before,NA,NA,Lexical,"With that bad weather, they still went on their daily walk."
Hybrid SMT,S12b,-1,Ambiguity,S,Before,NA,NA,Lexical,"With all his debts, he not only bought a car, but also got leather seats."
Hybrid SMT,S12c,-1,Ambiguity,S,Mid,NA,NA,Lexical,"I still think we should launch the project, with all the risks it entails."
Hybrid SMT,S12d,-1,Ambiguity,S,Mid,NA,NA,Lexical,"The professor let those two students pass, with their numerous absences."
Hybrid SMT,S12e,-1,Ambiguity,L,Before,NA,NA,Lexical,"With the unexpectedly cold and cloudy weather that everyone else was complaining about, they still went on their daily walk, only wearing a light jacket."
Hybrid SMT,S12f,-1,Ambiguity,L,Before,NA,NA,Lexical,"With all his debts, he not only bought a new car from the dealership with his credit card, he also got leather seats and a panoramic sunroof."
Hybrid SMT,S12g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"I still think we should go forward with that project, with all the risks it entails and considering all the efforts that would be required to execute it."
Hybrid SMT,S12h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"Since the school did not have any specific policy or rules regarding attendance, the professor let those two students pass the course, with their numerous absences."
Hybrid SMT,S13a,-1,Homographs,S,NA,NA,NA,Lexical,The company bought new desks for all of their offices.
Hybrid SMT,S13b,1,Homographs,S,NA,NA,NA,Lexical,"While I appreciate the comments people leave on my videos, I donêt particularly enjoy them."
Hybrid SMT,S13c,-1,Homographs,S,NA,NA,NA,Lexical,He didnêt exactly know whether what he felt was like or love.
Hybrid SMT,S13d,0,Homographs,S,NA,NA,NA,Lexical,The wine was delicious: cool and fresh and fruity.
Hybrid SMT,S13e,-1,Homographs,L,NA,NA,NA,Lexical,"With this yearês new budget and with new employees joining in the coming weeks, the company bought new chairs and new desks for their offices."
Hybrid SMT,S13f,1,Homographs,L,NA,NA,NA,Lexical,"Because they are thoughtful and I understand where they are coming from, I appreciate but donêt particularly enjoy the comments you leave on my videos about weight loss."
Hybrid SMT,S13g,-1,Homographs,L,NA,NA,NA,Lexical,He had just gotten out of a serious relationship that had lasted four years and he didnêt exactly know whether what he felt now was likeÜ what he would feel for any good friend he had grown to rely onÜor love.
Hybrid SMT,S13h,0,Homographs,L,NA,NA,NA,Lexical,"The wine we tasted at the first stop of our wine tour was delicious: cool, fresh, and fruity, with notes of vanilla and sage, aged in old oak barrels."
Hybrid SMT,S14a,1,Scope,S,NA,NA,NA,Syntactic,The only Australian wine lovers I know are coincidentally also Australian.
Hybrid SMT,S14b,-1,Scope,S,NA,NA,NA,Syntactic,Donêt tell me you lost the dehydrated dog treat I just got from the store.
Hybrid SMT,S14c,-1,Scope,S,NA,NA,NA,Syntactic,Our store has a new arrivals window display and one showcasing our most popular items.
Hybrid SMT,S14d,-1,Scope,S,NA,NA,NA,Syntactic,"If you think you have trouble cooking asparagus, listen to my abnormally crisp asparagus story."
Hybrid SMT,S14e,1,Scope,L,NA,NA,NA,Syntactic,"I donêt know many people who would choose Australian wine over French wine; in fact, the only Australian wine lovers I know are coincidentally also Australian."
Hybrid SMT,S14f,-1,Scope,L,NA,NA,NA,Syntactic,"Donêt tell me you lost the very expensive, chicken-flavoured, certified organic, delectable dehydrated dog treat that I had finally just gotten from the store."
Hybrid SMT,S14g,1,Scope,L,NA,NA,NA,Syntactic,The manager said our store should have a new arrivals window display to show the latest trends and another one showcasing our most popular items.
Hybrid SMT,S14h,-1,Scope,L,NA,NA,NA,Syntactic,"If you think you have trouble cooking asparagus in olive oil, with garlic, listen to my abnormally crisp asparagus story that I like to tell everyone."
Hybrid SMT,S15a,1,Scope,S,NA,NA,NA,Syntactic,I always bring two solar-powered calculators and pencils to my exams.
Hybrid SMT,S15b,0,Scope,S,NA,NA,NA,Syntactic,That cream can be used to hydrate itchy skin or wood.
Hybrid SMT,S15c,-1,Scope,S,NA,NA,NA,Syntactic,"I have many pets at home, including fluffy dogs and geckos."
Hybrid SMT,S15d,0,Scope,S,NA,NA,NA,Syntactic,I ordered wood blinds and curtains online because they were cheaper.
Hybrid SMT,S15e,1,Scope,L,NA,NA,NA,Syntactic,"I always bring two solar-powered calculators and pencils to my exams, in case one of my classmates forgot theirs and needs to borrow them from me."
Hybrid SMT,S15f,1,Scope,L,NA,NA,NA,Syntactic,"That all-in-one cream can be used to hydrate itchy skin or wood, including wood that is too dry for woodworking or furniture that need to be restored."
Hybrid SMT,S15g,1,Scope,L,NA,NA,NA,Syntactic,"I have many pets at home, including fluffy dogs and geckos that we keep in different rooms at night so they can have a good nightês sleep."
Hybrid SMT,S15h,0,Scope,L,NA,NA,NA,Syntactic,I ordered all of my wood blinds and curtains online because they were cheaper and I have many windows in my new home that are facing the street.
Hybrid SMT,S16a,1,Anaphora,S,NA,N,NA,Syntactic,"I have a plant pot for my mint, otherwise it grows all over the garden."
Hybrid SMT,S16b,1,Anaphora,S,NA,N,NA,Syntactic,I wanted the bag with the side pocket because it adds a lot of space.
Hybrid SMT,S16c,-1,Anaphora,S,NA,Y,NA,Syntactic,He put his brotherês photo in a book after breaking the frame it was in.
Hybrid SMT,S16d,1,Anaphora,S,NA,Y,NA,Syntactic,The recital was tonight but there were issues with the stage so it was cancelled.
Hybrid SMT,S16e,1,Anaphora,L,NA,N,NA,Syntactic,"I use a lot of herbs in my recipes so I have a plant pot for my mint, otherwise it grows all over the garden and I canêt grow anything else."
Hybrid SMT,S16f,1,Anaphora,L,NA,N,NA,Syntactic,I wanted the brown leather bag with the white side pocket because it adds a lot of space and I can easily reach my phone there.
Hybrid SMT,S16g,-1,Anaphora,L,NA,Y,NA,Syntactic,He put his little brotherês graduation photo in a book with all of their childhood photos after accidentally breaking the wooden frame it was in.
Hybrid SMT,S16h,1,Anaphora,L,NA,Y,NA,Syntactic,"The piano recital was supposed to be tonight in the concert hall, but there were lighting issues with the new stage so it was cancelled."
Hybrid SMT,S17a,-1,Anaphora,S,NA,NA,Before,Syntactic,The matriarchs are the rulers of the family and they usually make important decisions.
Hybrid SMT,S17b,-1,Anaphora,S,NA,NA,Before,Syntactic,"The waitresses came with the bill, but they forgot to include some of our drinks."
Hybrid SMT,S17c,-1,Anaphora,S,NA,NA,After,Syntactic,The nurses are unhappy they got an extra shift after coming back from paternity leave.
Hybrid SMT,S17d,-1,Anaphora,S,NA,NA,After,Syntactic,"When those two joined that team, they turned the all-male team into a mixed one."
Hybrid SMT,S17e,-1,Anaphora,L,NA,NA,Before,Syntactic,"Matriarchs are the rulers of the family and they usually make important decisions, as property, land, and inheritance are passed down from mother to daughter in their society."
Hybrid SMT,S17f,-1,Anaphora,L,NA,NA,Before,Syntactic,"The waitresses came with the bill for our table but they forgot to include some of our drinks, and the desserts that we ordered were not on the check either."
Hybrid SMT,S17g,-1,Anaphora,L,NA,NA,After,Syntactic,The intensive care unit nurses are unhappy and in shock that they got an extra shift barely a day after coming back from paternity leave.
Hybrid SMT,S17h,-1,Anaphora,L,NA,NA,After,Syntactic,"When those two joined that software engineering team of four, they turned the formerly all-male team into a mixed one that is now one-third female."
Hybrid SMT,S18a,-1,Anaphora,S,NA,N,NA,Syntactic,"Girls usually carry handbags because their pockets are too small, but these are very spacious."
Hybrid SMT,S18b,1,Anaphora,S,NA,N,NA,Syntactic,"Most jewellers sell lots of engagement rings, and these are always over-priced."
Hybrid SMT,S18c,1,Anaphora,S,NA,Y,NA,Syntactic,"Most cottage owners are residents of nearby cities, but these came from England."
Hybrid SMT,S18d,1,Anaphora,S,NA,Y,NA,Syntactic,"I thought I owned the ugliest shoes in three counties, but these are even uglier."
Hybrid SMT,S18e,-1,Anaphora,L,NA,N,NA,Syntactic,"Most of the girls I know usually carry big handbags that can fit their wallet because their pants pockets are too small, but these are very spacious."
Hybrid SMT,S18f,-1,Anaphora,L,NA,N,NA,Syntactic,"Most jewellers in big cities such as Toronto sell lots of nice, shiny, beautifully presented wedding bands and engagement rings, and these are always over-priced."
Hybrid SMT,S18g,1,Anaphora,L,NA,Y,NA,Syntactic,"Most cottage owners are residents of nearby cities who want a quiet place to relax that is also not too far of a drive, but these came from England."
Hybrid SMT,S18h,1,Anaphora,L,NA,Y,NA,Syntactic,"I thought I owned the ugliest shoes in three counties, with the weird lace colour, ridiculous platform, and tacky pattern, but these are even uglier."
CNN,S01a,1,Ambiguity,S,Before,NA,NA,Lexical,"As I took my fries out of the bag, a seagull tried to steal some."
CNN,S01b,0,Ambiguity,S,Before,NA,NA,Lexical,"As I put my curtains up, I realized the rod was crooked."
CNN,S01c,-1,Ambiguity,S,Mid,NA,NA,Lexical,My knees cracked as I stood up.
CNN,S01d,-1,Ambiguity,S,Mid,NA,NA,Lexical,I discovered a hidden image as I was restoring an old painting.
CNN,S01e,-1,Ambiguity,L,Before,NA,NA,Lexical,"As I took my fries and ketchup out of the paper bag today at the beach, a vicious seagull tried to steal some of the fries."
CNN,S01f,-1,Ambiguity,L,Before,NA,NA,Lexical,"As I put my blue and white curtains up, I realized the matte black metal rod was crooked and didn't match with the rest of the room."
CNN,S01g,-1,Ambiguity,L,Mid,NA,NA,Lexical,My grandmother laughed at me and told me I was getting old when my knees cracked as I stood up to go grab my phone.
CNN,S01h,0,Ambiguity,L,Mid,NA,NA,Lexical,"I discovered a hidden image that seemed to be one of a sheep as I was restoring an old painting from the sixteenth century, depicting a biblical scene."
CNN,S02a,-1,Ambiguity,S,Before,NA,NA,Lexical,"As I kept being woken up by raccoons, I put traps in my backyard."
CNN,S02b,1,Ambiguity,S,Before,NA,NA,Lexical,"As I spoke without raising my hand, the teacher ignored my answer."
CNN,S02c,1,Ambiguity,S,Mid,NA,NA,Lexical,"The doctor reduced the dosage, as the patient seemed to experience discomfort."
CNN,S02d,1,Ambiguity,S,Mid,NA,NA,Lexical,"Hikers tend to avoid that trail, as the path is narrow."
CNN,S02e,1,Ambiguity,L,Before,NA,NA,Lexical,"As I kept being woken up by raccoons opening my garbage bins every night, I put traps with peanut butter and jelly in my backyard."
CNN,S02f,1,Ambiguity,L,Before,NA,NA,Lexical,"As I spoke in class without raising my hand and waiting to be called on, the geography teacher ignored my answer and asked someone else to respond."
CNN,S02g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"The doctor reduced the dosage of the medication he had prescribed two weeks ago, as the young patient had experienced discomfort ever since he started taking those pills."
CNN,S02h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"Hikers tend to avoid that trail on the west side of the park near the gates, as the path is narrow and is usually hard to follow."
CNN,S03a,-1,Ambiguity,S,Before,NA,NA,Lexical,"As this project develops, we'll have to hire more employees."
CNN,S03b,1,Ambiguity,S,Before,NA,NA,Lexical,"As we receive the comments, we'll compile them in one document."
CNN,S03c,-1,Ambiguity,S,Mid,NA,NA,Lexical,We will move to a bigger house as our family grows.
CNN,S03d,0,Ambiguity,S,Mid,NA,NA,Lexical,"To make risotto, you must add small quantities of broth as the rice cooks."
CNN,S03e,-1,Ambiguity,L,Before,NA,NA,Lexical,"As this new project develops, it will require expertise from experienced workers, and we'll have to hire more full-time employees with the required language proficiency."
CNN,S03f,-1,Ambiguity,L,Before,NA,NA,Lexical,"As we receive the comments from the people who participated in our workshop last week, we'll compile them in one document and share the feedback."
CNN,S03g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"We will move to a bigger house in a nicer neighbourhood, closer to our work, as our family grows and we need more bedrooms for the kids."
CNN,S03h,0,Ambiguity,L,Mid,NA,NA,Lexical,"According to this recipe I found online, to make risotto, you must add the chicken or vegetable broth in small quantities as the rice cooks over medium heat."
CNN,S04a,0,Ambiguity,S,Before,NA,NA,Lexical,"While I was cleaning my room, I noticed a letter I had never opened."
CNN,S04b,1,Ambiguity,S,Before,NA,NA,Lexical,"While I was on the phone, the deliveryman rang the doorbell."
CNN,S04c,1,Ambiguity,S,Mid,NA,NA,Lexical,He bought new glasses while he was visiting.
CNN,S04d,-1,Ambiguity,S,Mid,NA,NA,Lexical,He fell asleep while reading her eighteen-page-long letter.
CNN,S04e,-1,Ambiguity,L,Before,NA,NA,Lexical,"While I was cleaning my old room at my parents' place, I noticed a letter I had never opened from a childhood friend with whom I had not talked in years."
CNN,S04f,1,Ambiguity,L,Before,NA,NA,Lexical,"While I was on the phone discussing a COVID-19 response project with three of my colleagues, the deliveryman rang the doorbell, carrying three stacked boxes."
CNN,S04g,-1,Ambiguity,L,Mid,NA,NA,Lexical,"He bought a new pair of reading glasses that, in my opinion, are too big for his face, while he was visiting his mom in New Hampshire."
CNN,S04h,-1,Ambiguity,L,Mid,NA,NA,Lexical,"He fell asleep at the white kitchen table that he had not cleaned up after last night's dinner, and that still held a dirty plate and glass, while reading her eighteen-page-long letter."
CNN,S05a,1,Ambiguity,S,Before,NA,NA,Lexical,"While I enjoy your company, I'm going to have to ask you to leave."
CNN,S05b,1,Ambiguity,S,Before,NA,NA,Lexical,"While money is always tight, I can generally make a living freelancing."
CNN,S05c,1,Ambiguity,S,Mid,NA,NA,Lexical,"The actor, while handsome and charming, was not a particularly nice person to work with."
CNN,S05d,1,Ambiguity,S,Mid,NA,NA,Lexical,"The hotel room, while it was clean and cheap, was not particularly attractive."
CNN,S05e,1,Ambiguity,L,Before,NA,NA,Lexical,"While I enjoy your company and I appreciate your help, I'm going to have to ask you to leave and take your dog with you."
CNN,S05f,1,Ambiguity,L,Before,NA,NA,Lexical,"While money is always tight and rent for my small apartment is only getting more and more expensive, I can generally make a living freelancing."
CNN,S05g,1,Ambiguity,L,Mid,NA,NA,Lexical,"The actor, while handsome and charming and selected among hundreds of others for the upcoming science fiction movie, was not a particularly nice person to work with."
CNN,S05h,0,Ambiguity,L,Mid,NA,NA,Lexical,"The hotel room that I managed to book at the last minute for a road trip, while it was clean and cheap, was not particularly attractive."
CNN,S06a,-1,Ambiguity,S,Before,NA,NA,Lexical,"While Megan loves a good steak, her brother doesn't eat meat."
CNN,S06b,-1,Ambiguity,S,Before,NA,NA,Lexical,"While the government is telling people to practice physical distancing, some still gather in parks."
CNN,S06c,1,Ambiguity,S,Mid,NA,NA,Lexical,"There was still soap on the shelves, while the toilet paper was out of stock."
CNN,S06d,1,Ambiguity,S,Mid,NA,NA,Lexical,"The blue mushroom shrinks Mario, while the red one makes him grow."
CNN,S06e,-1,Ambiguity,L,Before,NA,NA,Lexical,"While Megan loves a good medium-rare steak with creamy peppercorn sauce, her younger brother who grew up with her doesn't eat meat at all."
CNN,S06f,-1,Ambiguity,L,Before,NA,NA,Lexical,"While the government is telling people to practice physical distancing to reduce the spread of the virus, some still gather in parks and visit relatives."
